id,title,date,year,url,domain,source_name,source_type,collector,browser_family,incident_types,seeded,extension_related,incident_like,note,description
addons-2010-07-13-add-on-security-announcement,Add-on security vulnerability announcement – Mozilla Add-ons Community Blog,2010-07-13,2010,https://blog.mozilla.org/addons/2010/07/13/add-on-security-announcement/,blog.mozilla.org,Mozilla Add-ons Blog,manual-seed,manual,chrome|firefox,malicious-extension|vulnerability,True,True,True,Older advisory on malicious add-on and security-vulnerable add-on,"One malicious add-on and another add-on with a serious security vulnerability were discovered recently on the Mozilla Add-ons site. Both issues have been dealt with, and the details are described ..."
article-1538662-opera-touts-extensions-in-next-browser-html,Opera touts extensions in next browser,2010-10-14,2010,https://www.computerworld.com/article/1538662/opera-touts-extensions-in-next-browser.html,computerworld.com,Computerworld,bing-news-rss,https://www.bing.com/news/search?q=site%3Acomputerworld.com+browser+extension+malicious&format=rss,chrome|firefox|opera,other,False,True,False,,"Opera Software on Thursday announced that it will add support for extensions to its flagship browser, mimicking the functionality of more popular rivals such as Mozilla’s Firefox and Google’s Chrome."
2010-10-firesheep-baaaaad-news-for-the-unwary,Firesheep: Baaaaad News for the Unwary,2010-10-26,2010,https://krebsonsecurity.com/2010/10/firesheep-baaaaad-news-for-the-unwary/,krebsonsecurity.com,Krebs on Security,bing-news-rss,https://www.bing.com/news/search?q=site%3Akrebsonsecurity.com+browser+extension&format=rss,firefox,malicious-extension,False,True,True,,"“Firesheep,” a new add-on for Firefox that makes it easier to hijack e-mail and social networking accounts of others who are on the same wired or wireless network, has been getting some rather ..."
security-2011-03-25-comodo-certificate-issue-follow-up,Comodo Certificate Issue – Follow Up – Mozilla Security Blog,2011-03-25,2011,https://blog.mozilla.org/security/2011/03/25/comodo-certificate-issue-follow-up/,blog.mozilla.org,Mozilla Security Blog,manual-seed,manual,firefox,malicious-extension,True,True,True,Fraudulent certificate for addons.mozilla.org could have enabled malicious software downloads,"Categories: CA Program Firefox Security Comodo Certificate Issue – Follow Up Johnathan Nightingale March 25, 2011 30 responses This is a follow-up to the previous Mozilla report about the fraudulent certificates issued by Comodo last week. On 15th March 2011, a RA partner of the Comodo CA suffered an internal security breach ( Comodo incident report ). The attacker used the RA’s account with Comodo to cause 9 fraudulent certificates to be issued."
malicious-chrome-extensions-targeting-facebook,Malicious Chrome Extensions Targeting Facebook,2012-03-26,2012,https://www.securityweek.com/malicious-chrome-extensions-targeting-facebook/,securityweek.com,SecurityWeek,manual-seed,manual,chrome,malicious-extension,True,True,True,Older Chrome extension malware campaign coverage,"Researchers from Kaspersky Lab have found examples of malicious Chrome applications targeting Facebook users in Brazil. The attack use several methods to entice users to install the malware, and despite Google’s best efforts, the criminals behind the attack keep getting new variants into the Chrome Web Store."
information-technology-2012-03-googles-chome-web-store-used-to-spread-malware,Google's Chrome Web store used to spread malware,2012-03-27,2012,https://arstechnica.com/information-technology/2012/03/googles-chome-web-store-used-to-spread-malware/,arstechnica.com,Ars Technica,manual-seed,manual,chrome|opera,malicious-extension,True,True,True,Older Chrome Web Store malware coverage,"Biz & IT Google’s Chrome Web store used to spread malware Attackers seeded Google's Chrome Web Store with a malicious extension to … Dan Goodin – Mar 27, 2012 2:15 pm | 32 Credit: Photograph by www.securelist.com Credit: Photograph by www.securelist.com Text settings Story text Size Small Standard Large Width * Standard Wide Links Standard Orange * Subscribers only Learn more Minimize to nav Crooks have found a new venue to push malware: the official Google Chrome Web Store . It was recently used to hawk Chrome browser extensions secretly hijacking users’ Facebook profiles."
information-technology-2012-05-firefox-security-add-in-exposes-users-web-browsing-history,"Firefox ""security"" add-on exposes users' Web browsing history",2012-05-01,2012,https://arstechnica.com/information-technology/2012/05/firefox-security-add-in-exposes-users-web-browsing-history/,arstechnica.com,Ars Technica,manual-seed,manual,firefox,other,True,True,True,Firefox ShowIP add-on privacy leak coverage,"E-Privacy Firefox “security” add-on exposes users’ Web browsing history Firefox plugin ShowIP transmits web visits home in the clear, exposing browser history. Sean Gallagher – May 1, 2012 9:45 am | 25 Text settings Story text Size Small Standard Large Width * Standard Wide Links Standard Orange * Subscribers only Learn more Minimize to nav A Firefox add-on that gives users the ability to collect information on the IP address, server hostname and other related data for websites they visit also has the added bonus feature of reporting the same information on every site visited to a third-party server, SophosLabs reports."
malicious-firefox-chrome-extension-hijacks-facebook-profiles,"Malicious Firefox, Chrome Extension Hijacks Facebook Profiles",2013-05-12,2013,https://www.securityweek.com/malicious-firefox-chrome-extension-hijacks-facebook-profiles/,securityweek.com,SecurityWeek,bing-news-rss,https://www.bing.com/news/search?q=site%3Asecurityweek.com+browser+extension+malicious&format=rss,chrome|firefox,malicious-extension,False,True,True,,"Researchers at Microsoft are reporting a wave of malicious browser extensions attempting to hijack Facebook profiles. The malware, known as Trojan:JS/Febipos.A, specifically targets Google Chrome and ..."
2014-04-malicious-chrome-extension-hijacks-html,Malicious Chrome Extension Hijacks CryptoCurrencies and Wallets,2014-04-25,2014,http://thehackernews.com/2014/04/malicious-chrome-extension-hijacks.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,malicious-extension,False,True,True,,"Although the number of malicious browser extensions has significantly increased in the past years, but recently a new extension of the Google Chrome is allegedly targeting Cryptocurrency users that is capable of stealing Bitcoins and other crypto coins silently. The malicious Chrome browser extension dubbed as ‘Cryptsy Dogecoin (DOGE) Live Ticker’ which is available on Chrome Web store"
2014-06-google-offers-chrome-extension-for-end-html,Google offers Chrome Extension for End-To-End Gmail Encryption,2014-06-04,2014,http://thehackernews.com/2014/06/google-offers-chrome-extension-for-end.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,other,False,True,False,,"Everything we do online, whether chatting on phone, talking via video or audio, sending messages on phones or emails are being watched by Governments and Intelligence agencies. However, many Internet giants offer encrypted environment in an effort to protect our online data from prying eyes, but still those companies can read our data stored into their servers. But, there is a great news"
2014-09-malware-can-bypasses-chrome-extension-html,Malware Can Bypass Chrome Extension Security Feature Easily,2014-09-06,2014,http://thehackernews.com/2014/09/malware-can-bypasses-chrome-extension.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,malicious-extension,False,True,True,,Researchers have uncovered a new social engineering trick that leads users to a malicious extension from Google Chrome impersonating to deliver Adobe’s Flash Player in order to lure victims in a click fraud campaign. Security experts at TrendMicro believe that the malware is triggered by opening Facebook or Twitter via shortened links provided in any social networking websites. Once
2014-12-gmail-end-to-end-encryption-html,Google Releases Chrome Extension for End-To-End Email Encryption,2014-12-18,2014,http://thehackernews.com/2014/12/gmail-end-to-end-encryption.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,other,False,True,False,,"Back in june this year, Google announced an alpha Google Chrome extension called ""End-to-End"" for sending and receiving emails securely, in wake of former NSA contractor Edward Snowden’s revelations about the global surveillance conducted by the government law-enforcements. Finally, the company has announced that it made the source code for its End-to-End Chrome extension open source via"
2015-05-hack-google-password-html,Hacker Finds a Simple Way to Bypass Google Password Alert,2015-05-02,2015,http://thehackernews.com/2015/05/hack-google-password.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,malicious-extension,False,True,True,,"Less than 24 hours after Google launched the new Phishing alert extension Password Alert, a security researcher was able to bypass the feature using deadly simple exploits. On Wednesday, the search engine giant launched a new Password Alert Chrome extension to alert its users whenever they accidentally enter their Google password on a carefully crafted phishing website that aimed at"
2015-05-facebook-hack-location-html,This Facebook Hack Allows You to Track Your Friends On Map,2015-05-27,2015,http://thehackernews.com/2015/05/facebook-hack-location.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome,other,False,True,False,,Remember the magical Marauder’s Map from the Harry Potter books that reveal the whereabouts of characters as they roam classrooms and the halls of Hogwarts school? A student developer from Cambridge has created a Chrome extension that works similar and also named it Marauder’s Map. The extension that allows you to watch every footstep of your Facebook friends by grabbing location data
2015-08-mozilla-firefox-web-extensions-html,Mozilla Firefox Launches Web Extensions API to Support Chrome and Opera Extensions,2015-08-24,2015,http://thehackernews.com/2015/08/mozilla-firefox-web-extensions.html,thehackernews.com,The Hacker News,feed,https://thehackernews.com/feeds/posts/default/-/chrome%20extension?alt=json&max-results=500,chrome|firefox|opera,other,False,True,False,,"Should we feel happy about it? Let's find out! What Firefox has been thinking of is, it is planning to bring in Google chrome's web browser extensions to support the features of Mozilla Firefox. The parent company of Firefox i. e. Mozilla Foundation has decided to update their add-on and extension infrastructure, making Firefox more capable and user-friendly. Ranked number three,"
brief-black-hat-asia-researchers-find-reusable-vulnerabilities-in-popular-firefox-extensions,Black Hat Asia: Researchers find reusable vulnerabilities in popular Firefox extensions,2016-04-03,2016,https://www.scmagazine.com/brief/black-hat-asia-researchers-find-reusable-vulnerabilities-in-popular-firefox-extensions,scmagazine.com,SC Media,bing-news-rss,https://www.bing.com/news/search?q=firefox+extension+vulnerability&format=rss,firefox,vulnerability,False,True,True,,Flaws affecting popular Firefox extensions were disclosed by researchers at Black Hat Asia in Singapore. The reusable vulnerabilities were discovered by Northeastern Univeristy PhD candidate Ahmet ...
