The privacy practices of web browser extensions	Privacy & tracking
Nonius: Implementing a DRM Extension to an XML Browser	Specialized domains
Stronger Password Authentication Using Browser Extensions	Defensive tooling
A Browser Extension for Providing Visually Impaired Users Access to the Content of Bar Charts on the Web	Specialized domains
A Web Browser Extension for Growing-up Ontological Knowledge from Traditional Web Content	Specialized domains
Enhancing web browser security against malware extensions	Defensive tooling
Analyzing Information Flow in JavaScript-Based Browser Extensions	Detection & analysis
Graphical Passwords as Browser Extension: Implementation and Usability Study	Defensive tooling
PubMed-EX: a web browser extension to enhance PubMed search with text mining features	Specialized domains
A framework to strengthen password authentication using mobile devices and browser extensions	Defensive tooling
Protecting Browsers from Extension Vulnerabilities	Architecture & privilege model
VEX: Vetting Browser Extensions for Security Vulnerabilities	Detection & analysis
dinsEditor: A Browser Extension for QTI-Compliant Assessment Item Authoring	Specialized domains
Botnet with Browser Extensions	Attack papers
Figure summarizer browser extensions for PubMed Central	Specialized domains
Generic Access to Multimedia Metadata as a Browser Extension	Specialized domains
Making browser extensions secure: technical perspective	Detection & analysis
Privacy-enhanced identity via browser extensions and linking services	Privacy & tracking
Spying on the browser: dissecting the design of malicious extensions	Attack papers
Verified Security for Browser Extensions	Architecture & privilege model
Vetting browser extensions for security vulnerabilities with VEX	Detection & analysis
Browser extension-based man-in-the-browser attacks against Ajax applications with countermeasures	Attack papers
CDAPubMed: a browser extension to retrieve EHR-based biomedical literature	Specialized domains
Memoirs of a browser: a cross-browser detection model for privacy-breaching extensions	Privacy & tracking
REM: A runtime browser extension manager with fine-grained access control	Architecture & privilege model
The UCSC Genome Browser database: extensions and updates 2011	Specialized domains
Towards Fine-Grained Access Control on Browser Extensions	Architecture & privilege model
Towards improving browser extension permission management and user awareness	Users & developers
A Model-Based Detection of Vulnerable and Malicious Browser Extensions	Detection & analysis
Behavior Decomposition: Aspect-Level Browser Extension Clustering and Its Security Implications	Detection & analysis
Defeat Information Leakage from Browser Extensions via Data Obfuscation	Defensive tooling
Design and Implementation of a Functional Extension Framework for Authn & Authz Federation Infrastructure Using Web Browser Add-on	Specialized domains
Fostering Content Relevant Information Security Awareness through Browser Extensions	Users & developers
Protecting Web Browser Extensions from JavaScript Injection Attacks	Defensive tooling
Samekana: A Browser Extension for Including Relevant Web Links in Issue Tracking System Discussion Forum	Specialized domains
SearchPanel: A Browser Extension for Managing Search Activity	Specialized domains
The UCSC Genome Browser database: extensions and updates 2013	Specialized domains
Verifying Web Browser Extensions' Compliance with Private-Browsing Mode	Privacy & tracking
A Security Analysis of Browser Extensions	Detection & analysis
Effective detection of vulnerable and malicious browser extensions	Detection & analysis
Hulk: Eliciting Malicious Behavior in Browser Extensions	Detection & analysis
Making Web Pages and Applications Accessible Automatically Using Browser Extensions and Apps	Specialized domains
Mining Specification of Insecure Browser Extension Behavior	Detection & analysis
